analysis,outcome,scale,mean_broad,mean_specialized,estimate,se,ci_low,ci_high,bootstrap_ci_low,bootstrap_ci_high,n,journals,support,origin,window_definition
ipw,far_all32,absolute,3.1242955760857156,2.336729719903558,-0.7875658563341709,0.27079042764998035,-1.3183150945281323,-0.2568166181402094,-1.3861120857598597,-0.2616539214481505,3827491,20215,0.5024495704850124,internal/reach_followup_v4/decomposition/estimates.csv,
ipw,far_all32,log_mean_ratio,3.1242955760857156,2.336729719903558,-0.29045644590237724,0.09575356464512823,-0.47813343260682856,-0.10277945919792592,-0.49757497229739256,-0.10134141187275944,3827491,20215,0.5024495704850124,internal/reach_followup_v4/decomposition/estimates.csv,
ipw,any_far_all32,absolute,0.4783511089432374,0.43214277261819833,-0.04620833633185116,0.025788422808636288,-0.09675364503677827,0.0043369723730759605,-0.10106919596699099,-0.0021735940461991544,3827491,20215,0.5024495704850124,internal/reach_followup_v4/decomposition/estimates.csv,
ipw,any_far_all32,log_mean_ratio,0.4783511089432374,0.43214277261819833,-0.10158897459202755,0.05810622942566973,-0.21547718426634022,0.012299235082285115,-0.22274150427068096,-0.002560059773597302,3827491,20215,0.5024495704850124,internal/reach_followup_v4/decomposition/estimates.csv,
ipw,n_macros_cited_named31,absolute,1.6028533478203755,1.4032355326075607,-0.199617815257856,0.09099655906390781,-0.37797107102311533,-0.021264559492596674,-0.4029747547953898,-0.048073539330706586,3827491,20215,0.5024495704850124,internal/reach_followup_v4/decomposition/estimates.csv,
ipw,n_macros_cited_named31,log_mean_ratio,1.6028533478203755,1.4032355326075607,-0.13300471852447535,0.06206694136214495,-0.25465592359427947,-0.01135351345467124,-0.2669655193466984,-0.028879660417636538,3827491,20215,0.5024495704850124,internal/reach_followup_v4/decomposition/estimates.csv,
ipw,n_macros_cited_all32,absolute,1.6186524748368158,1.4157109772877876,-0.20294149752558335,0.09182532482391659,-0.38291913418045986,-0.022963860870706843,-0.40766232227715576,-0.04916801467816158,3827491,20215,0.5024495704850124,internal/reach_followup_v4/decomposition/estimates.csv,
ipw,n_macros_cited_all32,log_mean_ratio,1.6186524748368158,1.4157109772877876,-0.1339621350778193,0.06204352900757598,-0.2555674519326682,-0.01235681822297037,-0.2678053303778588,-0.029764785643713054,3827491,20215,0.5024495704850124,internal/reach_followup_v4/decomposition/estimates.csv,
ipw,far_given_any_far,absolute,6.531385665927133,5.407309500432006,-1.1240761654951272,0.4293430167679676,-1.9655884783603437,-0.2825638526299108,-1.9955296873830588,-0.22399467799308298,3827491,20215,0.5024495704850124,internal/reach_followup_v4/decomposition/estimates.csv,
ipw,far_given_any_far,log_mean_ratio,6.531385665927133,5.407309500432006,-0.18886747131034964,0.06752626147189668,-0.32121894379526716,-0.05651599882543215,-0.3255567945238873,-0.044381373604254225,3827491,20215,0.5024495704850124,internal/reach_followup_v4/decomposition/estimates.csv,
