qwen_macro,publication_year,n,n_broad,n_specialized,journals,status,estimate,se,ci_low,ci_high,bootstrap_ci_low,bootstrap_ci_high,far_near_broad,far_near_specialized,display_label,p_value,q_value_bh
0,2015,18428,8197,10231,3052,estimated,-0.0994208173991214,0.111969236280617,-0.3188805205091308,0.1200388857108879,-0.3086327706083669,0.1305048620635113,1.5012612653380264,1.3591843551288554,"Business, economics & policy",0.3745785338668717,0.7313199946924638
0,2016,19622,8579,11043,3332,estimated,-0.1881653054505634,0.0989620869682102,-0.3821309959082555,0.0058003850071285,-0.3745579465910055,0.0008647052568561,1.5986682725093888,1.3244610838542847,"Business, economics & policy",0.0572512355082512,0.2832319780128169
0,2017,22690,10050,12640,3531,estimated,-0.1029251935344576,0.1015140558753693,-0.3018927430501814,0.0960423559812662,-0.2940454453714333,0.1159441767776595,1.492816671446126,1.3468109321717463,"Business, economics & policy",0.3106300375665115,0.6978537830261355
0,2018,24227,10986,13241,3729,estimated,-0.1220609355483111,0.086492523823425,-0.2915862822422241,0.0474644111456019,-0.2833200223870463,0.0478065003077882,1.5460419758566424,1.3683931462388437,"Business, economics & policy",0.1581764963894398,0.4988643347666949
0,2019,26561,11445,15116,3970,estimated,-0.2459424750980859,0.0877454644543809,-0.4179235854286726,-0.0739613647674994,-0.4134949751917243,-0.079994814200382,1.5663265731325675,1.2248160144183184,"Business, economics & policy",0.0050644094387017,0.103820393493386
0,2020,32355,13836,18519,4352,estimated,-0.2050011424125704,0.0831614327282334,-0.367997550559908,-0.0420047342652327,-0.3677344017317193,-0.0352493819529144,1.4515480281065594,1.1824983548375323,"Business, economics & policy",0.0136975501980891,0.1247999018048125
1,2015,12392,5247,7145,1864,estimated,-0.059462446864845,0.1713903220225581,-0.3953874780290589,0.2764625842993689,-0.3534568320120956,0.2518147153784396,1.0890556602604604,1.0261854769143992,Earth & environmental science,0.7286351303731395,0.9121844380243884
1,2016,12784,5148,7636,1986,estimated,0.0786029480793311,0.1989173268942275,-0.3112750126333548,0.468480908792017,-0.3028035083024893,0.4760350470852469,1.017048662128263,1.1002175276922628,Earth & environmental science,0.6927293473108105,0.8945481335352199
1,2017,13447,5687,7760,2001,estimated,-0.49891693661651,0.3324482100938534,-1.1505154284004626,0.1526815551674426,-1.103062034747711,0.1812086763093484,1.68145967974167,1.0209620168187377,Earth & environmental science,0.1334239048697015,0.4376304079726211
1,2018,15458,7180,8278,2142,estimated,0.0917860565524051,0.1503709187164305,-0.2029409441317987,0.386513057236609,-0.2040866587094505,0.3924565204289324,1.1275524560336854,1.235944397353038,Earth & environmental science,0.5415984194641789,0.8597150854953639
1,2019,12839,5290,7549,2216,estimated,-0.1396234946399519,0.1476237626168121,-0.4289660693689037,0.1497190800889998,-0.4394674445550618,0.127921180465272,1.3502683125049764,1.174308927857549,Earth & environmental science,0.3442473573782701,0.7238516610665888
1,2020,15682,7038,8644,2446,estimated,-0.0385290822407824,0.1797202474858655,-0.3907807673130788,0.3137226028315139,-0.4212617220905336,0.2878811531803292,1.330786850559721,1.2804880598558288,Earth & environmental science,0.8302478923971732,0.9505531091190016
2,2015,8331,4207,4124,1516,not_estimable,,,,,,,,,"Reproduction, metabolism & animal science",,
2,2016,8193,3956,4237,1509,not_estimable,,,,,,,,,"Reproduction, metabolism & animal science",,
2,2017,8476,4195,4281,1584,not_estimable,,,,,,,,,"Reproduction, metabolism & animal science",,
2,2018,9106,4158,4948,1684,not_estimable,,,,,,,,,"Reproduction, metabolism & animal science",,
2,2019,9912,4314,5598,1723,not_estimable,,,,,,,,,"Reproduction, metabolism & animal science",,
2,2020,10325,4748,5577,1754,not_estimable,,,,,,,,,"Reproduction, metabolism & animal science",,
3,2015,10901,5072,5829,1222,estimated,0.2407641620595512,0.1368547522826906,-0.0274711524145225,0.508999476533625,-0.0436754478713716,0.5337708642154111,0.884256045136819,1.1249690763574407,Electrical & control engineering,0.0785320292585515,0.3340754404850337
3,2016,11434,5050,6384,1270,estimated,-0.0808532378210794,0.1399233895563052,-0.3551030813514377,0.1933966057092788,-0.333398012120962,0.23731156476819,0.9313860898437796,0.8590444423362558,Electrical & control engineering,0.5633725984967659,0.8597150854953639
3,2017,12415,6022,6393,1379,estimated,-0.1655576382595864,0.1650255353090434,-0.4890076874653116,0.1578924109461386,-0.477249034189085,0.1792705945067624,1.0874066401673812,0.9214912419086628,Electrical & control engineering,0.3157526185029161,0.6997760734388951
3,2018,12880,5940,6940,1413,estimated,-0.1771946129820568,0.1643890066578942,-0.4993970660315296,0.1450078400674159,-0.4823958272660154,0.2015878271159579,1.1380362099006207,0.9532382001284252,Electrical & control engineering,0.2810791925970973,0.6778968762635876
3,2019,13111,5961,7150,1502,estimated,-0.1683227343176616,0.1383104277437844,-0.4394111726954791,0.1027657040601558,-0.4176879947332471,0.1149319265213629,1.0997360456989502,0.929366096634092,Electrical & control engineering,0.2236071214738157,0.6322684124432032
3,2020,14229,6251,7978,1584,estimated,0.0199033981443643,0.1475698004647645,-0.2693334107665741,0.3091402070553028,-0.2521371258446895,0.3271584074982041,1.105817509896525,1.1280475286733769,Electrical & control engineering,0.8927111276517493,0.9631883219400452
4,2015,34437,14087,20350,2713,estimated,0.0037190352125963,0.1241734412506777,-0.2396609096387319,0.2470989800639245,-0.2347993451093064,0.2400743871337317,1.438896643738876,1.4442579142216732,Plant & microbial biology,0.9761066684176118,0.9952631405127114
4,2016,34167,13601,20566,2738,estimated,-0.1998092529254309,0.115220094568504,-0.4256406382796988,0.0260221324288368,-0.4130750562438083,0.0306434666163085,1.6785352550432462,1.3745305961154366,Plant & microbial biology,0.0828909700903554,0.3340754404850337
4,2017,32024,13502,18522,2871,estimated,-0.2704780021730246,0.1452706162727337,-0.5552084100675827,0.0142524057215334,-0.5528835816070908,-0.0074606900648728,1.5976994098184916,1.2190681110711332,Plant & microbial biology,0.0626185052352033,0.2852620794048153
4,2018,32995,14107,18888,3095,estimated,-0.2371674331611056,0.138029318360857,-0.5077048971483855,0.0333700308261741,-0.4874096053647617,0.0718348094925284,1.970133016347382,1.5541575468372804,Plant & microbial biology,0.0857529312852656,0.3340754404850337
4,2019,35364,13857,21507,3193,estimated,-0.1017227448105899,0.0906117279910386,-0.2793217316730257,0.0758762420518458,-0.2598468266611249,0.07604194366905,1.6142302256986654,1.4581018072584817,Plant & microbial biology,0.2615979481390925,0.6634361074639235
4,2020,37664,15709,21955,3313,estimated,-0.2383266690321374,0.0770114065760582,-0.3892690259212116,-0.0873843121430631,-0.3837570485139142,-0.0983320844687349,1.968429648867888,1.55101479519899,Plant & microbial biology,0.0019701663673909,0.0777643364222804
5,2015,19671,7987,11684,1975,estimated,-0.3246447848732803,0.2121261590304547,-0.7404120565729715,0.0911224868264109,-0.7474687213317259,0.0606834326000005,1.410185387388316,1.0192595081934226,Energy & thermal engineering,0.1259096897154238,0.4309255069857282
5,2016,20249,7827,12422,2120,estimated,-0.1272714509871376,0.1677157558448769,-0.4559943324430965,0.2014514304688212,-0.4273646128140292,0.1894969286238541,1.105298591067368,0.9732094728960916,Energy & thermal engineering,0.4479410444375915,0.789917540728656
5,2017,20380,8065,12315,2231,estimated,-0.1201060320749354,0.1694399884378154,-0.4522084094130537,0.2119963452631829,-0.4919468956142385,0.2250929244947755,1.2685734130098203,1.1250043926000624,Energy & thermal engineering,0.4784230737894968,0.8173060843903904
5,2018,21533,8496,13037,2289,estimated,0.2387905973986217,0.2730451630383561,-0.2963779221565562,0.7739591169537997,-0.2768383055026122,0.7629619815625963,1.0346821554586108,1.3137489983553263,Energy & thermal engineering,0.3818208964918785,0.7366897297019774
5,2019,20869,8661,12208,2412,estimated,0.206175135333952,0.1822676519202299,-0.1510694624296987,0.5634197330976027,-0.183884999972655,0.5728703878480519,1.0757068889152552,1.3220097966682631,Energy & thermal engineering,0.2579848494349446,0.6634361074639235
5,2020,22204,8865,13339,2552,estimated,0.1758025471023867,0.1583785384565404,-0.1346193882724324,0.4862244824772059,-0.1448464213824209,0.4925250841353688,1.088766017495291,1.2980297111940144,Energy & thermal engineering,0.2669925798330423,0.6634361074639235
6,2015,18065,8301,9764,1801,estimated,0.0580752184502856,0.1073577261019385,-0.1523459247095138,0.2684963616100851,-0.1385769339807403,0.2539665099482072,1.6825028815165712,1.7831076514189916,Clinical diagnostics & case reports,0.5885416834925057,0.8597150854953639
6,2016,17899,8001,9898,1907,estimated,0.2219130601133597,0.1169374903216108,-0.0072844209169975,0.451110541143717,-0.0207142566074318,0.4551130420331223,1.534150129110465,1.915329414793161,Clinical diagnostics & case reports,0.0577347280769273,0.2832319780128169
6,2017,18669,8230,10439,1997,estimated,-0.0308030849707633,0.1337486938841518,-0.2929505249837009,0.2313443550421742,-0.2992494746169107,0.2244034228831024,1.7998555933776064,1.7452596668677105,Clinical diagnostics & case reports,0.8178542409787593,0.9505531091190016
6,2018,18697,7896,10801,2082,estimated,-0.1043893003659571,0.0834588989296271,-0.2679687422680263,0.059190141536112,-0.2597686286122743,0.0758650704886901,1.9315789309263027,1.7401102390855874,Clinical diagnostics & case reports,0.2110122228946398,0.617964367048588
6,2019,20303,8291,12012,2151,estimated,-0.0370931702139809,0.0781467140389153,-0.1902607297302549,0.116074389302293,-0.1899943842053923,0.1179280879436191,1.7803658514350518,1.7155362388936386,Clinical diagnostics & case reports,0.6350288682796672,0.87516583527618
6,2020,21793,9035,12758,2296,estimated,-0.6294403515674581,0.3693575933489394,-1.3533812345313794,0.094500531396463,-1.427696190133095,0.051537365488437,3.652159900241023,1.946199301498876,Clinical diagnostics & case reports,0.0883532653201679,0.3340754404850337
7,2015,27895,11974,15921,1879,estimated,-0.0049783372628855,0.3675908891879108,-0.7254564800711908,0.7154998055454197,-0.7246244015392035,0.7168644720745613,0.969139341435102,0.9643266285324854,Electrochemical materials,0.9891944628266582,0.9952631405127114
7,2016,26794,11419,15375,1997,estimated,0.5528196535098084,0.4165729732371699,-0.2636633740350446,1.3693026810546614,-0.2487200825269346,1.3805132343445097,0.5660626019016438,0.9839000627645584,Electrochemical materials,0.1844869907208938,0.5602938236708627
7,2017,26828,10958,15870,2061,estimated,-0.0329938217446734,0.15131406091315,-0.3295693811344475,0.2635817376451005,-0.3186049659953385,0.2690717244295265,0.947125364471982,0.9163859725404848,Electrochemical materials,0.8273912315996399,0.9505531091190016
7,2018,28639,11193,17446,2161,estimated,-0.1993877954171179,0.1907164510522764,-0.5731920394795798,0.1744164486453439,-0.5396819441677032,0.1660655736003686,0.8724581123272296,0.7147457240284761,Electrochemical materials,0.2958070891351868,0.6832727129319809
7,2019,29496,10893,18603,2199,estimated,-0.3003222609336369,0.1364405007832187,-0.5677456424687456,-0.0328988793985282,-0.5466664031299506,-0.019811522704298,1.026458270264818,0.7601739755294596,Electrochemical materials,0.0277273503748188,0.2106182614356938
