test,modifier,level,order,status,estimate,se,ci_low,ci_high,bootstrap_ci_low,bootstrap_ci_high,far_near_broad,far_near_specialized,n,n_broad,n_specialized,journals,display_label
semantic_domain,qwen_macro,0,1,estimated,-0.1717106322597146,0.058798167181949836,-0.2869550399363363,-0.05646622458309293,-0.288853890912506,-0.04981421573814256,1.5146756428385453,1.275694436787983,143883,63093,80790,8963,"Business, economics & policy"
semantic_domain,qwen_macro,1,2,estimated,-0.09744618594330312,0.12685972836075038,-0.34609125353037384,0.15119888164376763,-0.33838348755495296,0.13042749191122005,1.270427146811237,1.1524694570365133,82602,35590,47012,5733,Earth & environmental science
semantic_domain,qwen_macro,2,3,estimated,-0.0818456762047633,0.06952512757070378,-0.2181149262433427,0.0544235738338161,-0.20600931790748434,0.04014915063755195,1.8844330786790087,1.736343291838263,54343,25578,28765,4108,"Reproduction, metabolism & animal science"
semantic_domain,qwen_macro,3,4,estimated,-0.07398016987673828,0.10174829653338963,-0.27340683108218194,0.1254464913287054,-0.2607893283402432,0.13338071562897244,1.0605264135719525,0.9849003913578052,74970,34296,40674,3384,Electrical & control engineering
semantic_domain,qwen_macro,4,5,estimated,-0.1845601385200215,0.061068369390640594,-0.30425414252567706,-0.06486613451436594,-0.305620138106835,-0.05684187746110168,1.7387086893412471,1.4456840009530565,206651,84863,121788,6568,Plant & microbial biology
semantic_domain,qwen_macro,5,6,estimated,0.055247086516718724,0.14600394833093236,-0.23092065221190872,0.34141482524534617,-0.23261965713229857,0.3429685385086338,1.1396379884836276,1.2043713680247368,124906,49901,75005,5424,Energy & thermal engineering
semantic_domain,qwen_macro,6,7,estimated,-0.17001353032705172,0.14214540891093966,-0.44861853179249345,0.10859147113838999,-0.46828489475674145,0.08602311043582708,2.1463617056375806,1.8107853540524192,115426,49754,65672,4564,Clinical diagnostics & case reports
semantic_domain,qwen_macro,7,8,estimated,-0.08767754050790977,0.10425411411671397,-0.29201560417666916,0.1166605231608496,-0.28040583346040476,0.137353617455387,0.897123026066882,0.8218151282469099,172466,67319,105147,4812,Electrochemical materials
semantic_domain,qwen_macro,8,9,estimated,-0.1342774717329176,0.09684618205749916,-0.32409598856561594,0.05554104509978075,-0.32360457303461443,0.05125980042163605,3.4288774699225244,2.9980301838853056,151409,58645,92764,8911,Humanities & politics
semantic_domain,qwen_macro,9,10,estimated,-0.02639837266843892,0.0718264536569223,-0.16717822183600664,0.1143814764991288,-0.15023142228880967,0.10256026044582765,2.3345486269686986,2.2737266746457876,149519,73952,75567,4518,Cell & neural biology
semantic_domain,qwen_macro,10,11,estimated,-0.0824132066129627,0.05358514848379151,-0.18744009764119407,0.02261368441526866,-0.19435755865664606,0.03275816919374841,2.0042099792308226,1.845659656843865,83663,35186,48477,7644,Social behavior & violence
semantic_domain,qwen_macro,11,12,estimated,-0.09785202646189495,0.0623629153123091,-0.22008334047402078,0.024379287550230888,-0.22072910390197795,0.026482078815580484,1.448406302446905,1.3133903189377643,123818,50593,73225,6609,Mental health & cognition
semantic_domain,qwen_macro,12,13,estimated,0.08761188523956653,0.111615609759569,-0.1311547098891887,0.30637848036832177,-0.12633835299030502,0.3140353167487636,1.5491519243924872,1.690999071577495,150944,79378,71566,9456,Computing & networks
semantic_domain,qwen_macro,13,14,estimated,-0.10893524846290559,0.09564310762741117,-0.2963957394126315,0.0785252424868203,-0.2914234866628725,0.0676192158119992,1.204535088325113,1.0802131958453838,45120,19170,25950,2964,Marine ecology & paleoscience
semantic_domain,qwen_macro,14,15,estimated,-0.22122667020337738,0.08410432654654436,-0.38607115023460437,-0.05638219017215043,-0.4050559748535159,-0.07068321437290899,1.7959926566857525,1.4395509302571243,108666,29114,79552,4321,Immune & inflammatory disease
semantic_domain,qwen_macro,15,16,estimated,-0.12499105392121979,0.09503983042242058,-0.3112691215491641,0.06128701370672454,-0.32066389341578944,0.0726939690858181,1.2021499878773934,1.060903131624449,136743,48664,88079,4981,Cardiovascular medicine
semantic_domain,qwen_macro,16,17,estimated,-0.09436730436450735,0.07839426086704807,-0.24802005566392155,0.05928544693490684,-0.24851397014025292,0.06557897438599797,1.9448161805008475,1.7696825133351488,146207,58521,87686,8488,Public health & care delivery
semantic_domain,qwen_macro,17,18,estimated,-0.18483339118198827,0.05359618583059591,-0.2898819154099562,-0.07978486695402029,-0.27769741420525723,-0.08180972006459661,1.2771378794074744,1.061611621769308,105953,37572,68381,5187,Surgical specialties
semantic_domain,qwen_macro,19,20,estimated,-0.25784700969595337,0.09761221890577691,-0.4491669587512761,-0.06652706064063063,-0.4460077523015394,-0.07526202141952809,1.724347626136885,1.3324265872043382,70297,17999,52298,1701,Synthetic chemistry
semantic_domain,qwen_macro,20,21,estimated,-0.304916239094171,0.13005903775463334,-0.5598319530932523,-0.05000052509508962,-0.5695499253650088,-0.07179566283826923,1.157088187496576,0.8529881933077496,109489,45747,63742,4529,Civil & structural engineering
semantic_domain,qwen_macro,21,22,estimated,-0.23986466389257832,0.10517503619426836,-0.4460077348333443,-0.03372159295181232,-0.43187048526798366,-0.056113711684102084,1.2857741169195303,1.0115626350931908,88044,31479,56565,3230,Metallurgy & alloys
semantic_domain,qwen_macro,22,23,estimated,0.10320277099173725,0.19025208625446008,-0.2696913180670045,0.476096860050479,-0.251587348106612,0.4906330088826745,0.5462474372540161,0.6056333838579439,85146,36673,48473,2707,Mathematics & theoretical physics
semantic_domain,qwen_macro,23,24,estimated,0.01696330274367963,0.08053105943158731,-0.1408775737422315,0.17480417922959077,-0.12440240503828509,0.18180345400857473,1.3625825820617945,1.3858936401986608,107289,39769,67520,4959,Ecology & taxonomy
semantic_domain,qwen_macro,24,25,estimated,-0.11791414500904862,0.09443459043078367,-0.3030059422533846,0.06717765223528738,-0.3080543235599692,0.07078199827559657,1.296303402107443,1.1521186273320507,128992,62145,66847,6469,"Astronomy, optics & imaging"
semantic_domain,qwen_macro,25,26,estimated,-0.21665892021718047,0.0852213322297309,-0.383692731387453,-0.04962510904690792,-0.38176780907523017,-0.06146331516248263,1.2854104719215578,1.035018375353023,85820,30531,55289,4585,Orthopaedics & sports medicine
semantic_domain,qwen_macro,26,27,estimated,-0.13653163230167942,0.1016268204429762,-0.3357202003699128,0.06265693576655393,-0.3273851666114894,0.05337444430334633,1.0275687634794592,0.8964291271957701,107160,46246,60914,5570,"Climate, land & agriculture"
semantic_domain,qwen_macro,27,28,estimated,-0.07264398925687121,0.11445176932594416,-0.29696945713572176,0.15168147862197934,-0.3066590513991619,0.1268714209529416,1.1976759684997889,1.1137570133088828,147496,45583,101913,4995,Oncology
semantic_domain,qwen_macro,28,29,estimated,-0.23746547339981525,0.06351672633144839,-0.3619582570094541,-0.1129726897901764,-0.36260758240618646,-0.13296364022157603,2.23233490695788,1.7604731493587735,130319,59941,70378,9153,Education & language
semantic_domain,qwen_macro,29,30,estimated,-0.00483762612052141,0.11719598179060511,-0.23454175043010742,0.2248664981890646,-0.22220766101784967,0.21852908826234307,1.1952633452156007,1.1894950716606854,91418,41692,49726,2648,Electronic & magnetic materials
semantic_domain,qwen_macro,30,31,estimated,-0.07038444734347503,0.07914001573080504,-0.2254988781758529,0.08472998348890283,-0.21321386040964507,0.09919929180136604,2.4083406005716865,2.2446587731979837,167292,38035,129257,4923,Drug discovery & pharmaceutics
semantic_domain,qwen_macro,31,32,estimated,-0.14408266409768689,0.08024507257471307,-0.3013630063441245,0.013197678148750724,-0.3010262469212887,0.011429601198397431,1.6963462459604124,1.4687240150795973,179350,68338,111012,7036,Chronic & infectious disease
