figure/panel,source_file,originating_artifact,rows,git_commit,sha256
Figure 4/a; Results: research areas,SourceData_Figure4_Areas.csv,results/qss_v3/subgroup_estimates.csv;results/qss_v3/hierarchy_areas.csv,31,f5ef284bd486483326cd436e9d738064353200ba,8d565a17147f43dc045f213ea83cd874dd41157414c80f1fe87d91d44363f06f
Journal-scope measurement source data,SourceData_Figure1.csv,qss_v2/journal_year_scope.parquet;artifacts/qss_v2/run_exposure.json;results/qss_v3/network_nodes.csv,269,ed9b653b724a63fb3a02d41fb77bc1b1fd71386e,7f7b16082c1b85aacfdb8b2a15a2d2133d778c4dc3aa36666d4fb6e0a1722a89
Figure 2 (labels),SourceData_Hierarchy_Areas.csv,results/qss_v3/hierarchy_areas.csv,32,ed9b653b724a63fb3a02d41fb77bc1b1fd71386e,2df636ec731c558e9b2d7c1a33da9511cf825d47e4c6770ac8967d288447e069
Figure 2/e; Results: citation origins,SourceData_Figure2.csv,results/qss_v3/dirty_estimates.csv,6,ed9b653b724a63fb3a02d41fb77bc1b1fd71386e,0c61dfecabddc18f0f414eba557927c6bad50ad782ba5c9df2c94eaf08dbacda
Figure 4/c; Results: publication years,SourceData_Figure2_Years.csv,results/qss_v3/figure2_years.csv,6,ed9b653b724a63fb3a02d41fb77bc1b1fd71386e,0172ba0b93108c831a94e55b6ce85c78761d0b2e66c06fe156dbf5eafe3ff0d1
Network source data (same edges as SourceData_ED3_network_edges.csv),SourceData_Figure3_edges.csv,results/qss_v3/network_edges.csv,1024,ed9b653b724a63fb3a02d41fb77bc1b1fd71386e,a1aed585ed75020aa9bf41a0284bc58cef572f62cc03f04c49cc38b5564ecfde
Network source data: cluster summaries,SourceData_Figure3_nodes.csv,results/qss_v3/network_nodes.csv,32,ed9b653b724a63fb3a02d41fb77bc1b1fd71386e,04530ba2014384f7bdafb1b6eff3076d476935589704320f2e254f47aeab33fe
Supplementary source data: area order,SourceData_Radial_AreaOrder.csv,results/qss_v3/radial_area_order.csv,32,ed9b653b724a63fb3a02d41fb77bc1b1fd71386e,effb433e0b0df0059c09499ed2b362fc59da4145a7b6cb6f4e28741abe0b4b54
Supplementary source data: citation backbone,SourceData_Radial_CitationBackbone.csv,results/qss_v3/radial_citation_backbone.csv,43,ed9b653b724a63fb3a02d41fb77bc1b1fd71386e,98d2f69e8e4c81fcf796bea1a8e55e9f6b35a425ddc635ce8bc0baf3b33c2d84
Supplementary source data: leaf scope,SourceData_Radial_LeafScope.csv,results/qss_v3/radial_leaf_scope.csv,1000,ed9b653b724a63fb3a02d41fb77bc1b1fd71386e,0eebc33bcf95b0a98bf70a0f06f7af7fc3d44dbcafec1636eb4b7fba14122274
Figure 3/c,SourceData_Figure3_metrics.csv,results/qss_v3/network_metrics.csv,3,ed9b653b724a63fb3a02d41fb77bc1b1fd71386e,b66b384420bf506f8b9010e26bdd31878fc1e89d75b3cbe8f33c3b51388db596
Supplementary Figure S1,SourceData_ED1_cohort_coverage.csv,artifacts/qss_v2/run_dirty_analyze.json;artifacts/qss_v3/run_prepare.json;artifacts/qss_v3/run_analyze.json;artifacts/qss_v3/run_network.json,15,ed9b653b724a63fb3a02d41fb77bc1b1fd71386e,c3d03117de049c29ae5fc85ca0cc6a6096958af472c1826e7af800f8ef24cf3f
